Job ID,Job Title,Job Description,Location,Team
24730,Booking Holdings Romania -Engineering Manager- Incident Management,"About us
Booking Holdings Romania is a Center of Excellence based in Bucharest, Romania and was created to support the increasing business demands of the Booking Holdings Brands. The Center of Excellence provides access to specialized and highly skilled talent, leading industry best practices, and collaboration opportunities across all of our Brands.
As part of our Booking Holdings Romania team, you will have the opportunity to be a part of the world’s leading provider of online travel, with a mission of making it easier for everyone to experience the world through six-primary consumer facing brands: Booking.com, Priceline, Agoda, KAYAK, OpenTable and Rentalcars.com.
Job summary
The role of Engineering Manager MIM(Major Incident Management) is to primarily manage, coach and develop a team, ensuring the development of both (the individual and team as a whole) are in line with organizational objectives and direction. Manages all activities for a  major incident activity.
The core premise for MIMs (Major Incident Management) lies in treating operations incidents as real life fire drills where operations are concerned with addressing availability, scalability, latency and efficiency for Booking.com’s systems & services. They are required to organize and drive the Incident Drill call (war room), being responsible for coordinating multiple teams to perform the expected troubleshooting work in order to fix the outage. 
At its core the MIM is tasked to coordinate complex problems mitigation during incident calls, requiring a strong aptitude to communicate effectively, coordinate parallel actions and set priorities during the Drill.
MIMs can wear several hats; during the outages they are coordinators, they are scribes and they communicate proactively the status of the outage. Once the outage is mitigated  and the call finishes, they coordinate with the involved service owners and define the follow-up actions. They are also responsible for summarizing the root cause of the drill and keeping stakeholders updated.
Tasks & Responsibilities
People Leadership
Inspire and motivate multiple cross functional product teams
Directly manage Engineers in one or multiple teams
Lead by example by taking ownership, being proactive and collaborating
Nurture, grow and develop engineering talent in the team
Foster a great culture that innovates, work together as a team, partner with other Booking Holdings teams and roles and celebrates unified success
Respects the Booking Holdings values and uses them as a guide to the way we work
Contribute to the evolution of best practices across the department
Drive a culture of ownership and technical excellence, including reactive work such as incident escalations
Effective Communication skills and ownership
Is responsible to deliver clear, well-structured, and meaningful information to a target audience by using suitable communication mediums and language tailored to the audience
Is responsible to achieve mutually agreeable solutions by staying adaptable, communicating ideas in clear coherent language and practicing active listening
Is responsible to ask relevant (follow-up) questions to properly engage with the incident firefighters and really understand what they are saying, by applying listening and reflection techniques
It is responsible for internal and external (vendor) escalation as required
Document Post Incident Reports, as well as input to the Change and Problem Management Processes as required.
Technical Incident Management
Is responsible to address and coordinate the resolution of  live production issues by mitigating the customer impact within SLA
Is responsible to coordinate the firefighters in the call, focusing them on stopping the bleeding
Is responsible of opening a postmortem and engage all affected parties 
Is responsible to keep track of incidents by contributing to postmortem processes and logging live issues
Is responsible of keeping the postmortem owners accountable for the follow-up actions
  Job requirements
At least 3 years of experience leading and managing  a team of engineers in a fast-paced and complex environment
Strong people management skills and experience with the ability to deal with complex people issues
Bachelor’s degree in Computer Science, Computer or Electrical Engineering, Mathematics, or a related field or 5 years of progressively responsible experience in the specialty as equivalent
Strong business and technical vision
A deep understanding of software development in a team, and a track record of developing and shipping software
Strong interpersonal skills
Strong work ethic; self-directed and resourceful
Solution oriented and result driven
Proactive, flexible and capable of working independently as well as working in a team
Excellent verbal and written communication skills
Analytical skills and data-driven mindset
Ability to multi-task & flexible attitude
Strong project management skills
Language: English","Bucharest, Romania",Engineering
24725,Director of Technology - Monetisation & Policies,"As an Account Executive your main task will be to provide support to new and existing accommodation partners, contacting, informing and advising them about how to meet the demands of the visitors on the Booking.com website. You will also build the accommodations web-pages and training the new accommodations on how to use Booking.com’s extranet and how to use the systems that can improve their availability and supply. Furthermore you will offer support to the Account Managers with various tasks at the office.
This full-time position will be located at our Bucharest office. We are looking for a native Romanian and fluent English speaker.
B.responsible:
Day-to-day pro-active communication with partners in your region by telephone, by internal messaging and occasionally in person to assist with the development of the business;
Building productive relationships with partners to ensure that they offer the best availability and rate structure;
Discuss opportunities with partners that will help improve business by using Booking.com BV’s internal tool of priority setting;
First point of contact for key local accommodation partners, answering questions and queries, taking action as needed;
Participation in weekly team learning in your office;
Advise accommodation partners regarding their (potential)webpages on the Booking.com website and how they can amend data with respect to supply, availability, specials, promotions;
Liaison person for properties to contact when they have questions by phone and the Account Managers are unavailable;
Providing support to properties or Booking.com BV in building the webpage for accommodations and/or maintaining property information on the Booking.com website;
Verify that the website has accurate information on properties and pictures of newly registered accommodations;
Delivering training by phone to new and or existing properties on how to use Booking.com’s extranet and rates & availability system;
Providing properties with information and advice mainly by phone, including follow-ups;
Looking after IT/administrative related tasks;
In consultation with the Account Managers, provide information support to Booking.com BV for new and existing accommodations;
Conduct daily/weekly rate and availability checks on various platforms;
Assist in the preparation of market visits, operational planning and projects;
Assisting in additional tasks and projects when needed
You will also need to be versatile, flexible and adapt quickly to the latest guidelines/changes from Booking.com BV.
    B.skilled:
Great face-to-face and telephone communication skills;
Fluent English and Native Romanian speaker and writer;
Affinity/experience within e-travel and/or hotel/travel industry is a plus;
Pro-active, sense of responsibility and can work independently;
Ability to convince partners on the phone to implement suggestions;
Quick and resourceful, flexible, accurate, strong analytical and an eye for detail;
Team player, motivated and enjoys to work in e-travel and hospitality;
Business focused;
Positive attitude;
Hotel School or University background preferred.
B.offered:
We are a performance-based company that offers career advancement and lucrative compensation including bonus. We also offer what is called the “Booking Deal” with competitive benefits. 
Please submit your CV in English.","Amsterdam, Netherlands",Leadership
24725,Account Executive - Bucharest,"As an Account Executive your main task will be to provide support to new and existing accommodation partners, contacting, informing and advising them about how to meet the demands of the visitors on the Booking.com website. You will also build the accommodations web-pages and training the new accommodations on how to use Booking.com’s extranet and how to use the systems that can improve their availability and supply. Furthermore you will offer support to the Account Managers with various tasks at the office.
This full-time position will be located at our Bucharest office. We are looking for a native Romanian and fluent English speaker.
B.responsible:
Day-to-day pro-active communication with partners in your region by telephone, by internal messaging and occasionally in person to assist with the development of the business;
Building productive relationships with partners to ensure that they offer the best availability and rate structure;
Discuss opportunities with partners that will help improve business by using Booking.com BV’s internal tool of priority setting;
First point of contact for key local accommodation partners, answering questions and queries, taking action as needed;
Participation in weekly team learning in your office;
Advise accommodation partners regarding their (potential)webpages on the Booking.com website and how they can amend data with respect to supply, availability, specials, promotions;
Liaison person for properties to contact when they have questions by phone and the Account Managers are unavailable;
Providing support to properties or Booking.com BV in building the webpage for accommodations and/or maintaining property information on the Booking.com website;
Verify that the website has accurate information on properties and pictures of newly registered accommodations;
Delivering training by phone to new and or existing properties on how to use Booking.com’s extranet and rates & availability system;
Providing properties with information and advice mainly by phone, including follow-ups;
Looking after IT/administrative related tasks;
In consultation with the Account Managers, provide information support to Booking.com BV for new and existing accommodations;
Conduct daily/weekly rate and availability checks on various platforms;
Assist in the preparation of market visits, operational planning and projects;
Assisting in additional tasks and projects when needed
You will also need to be versatile, flexible and adapt quickly to the latest guidelines/changes from Booking.com BV.
    B.skilled:
Great face-to-face and telephone communication skills;
Fluent English and Native Romanian speaker and writer;
Affinity/experience within e-travel and/or hotel/travel industry is a plus;
Pro-active, sense of responsibility and can work independently;
Ability to convince partners on the phone to implement suggestions;
Quick and resourceful, flexible, accurate, strong analytical and an eye for detail;
Team player, motivated and enjoys to work in e-travel and hospitality;
Business focused;
Positive attitude;
Hotel School or University background preferred.
B.offered:
We are a performance-based company that offers career advancement and lucrative compensation including bonus. We also offer what is called the “Booking Deal” with competitive benefits. 
Please submit your CV in English.","Bucharest, Romania",Business Development & Support
24724,Engineering Manager - Team Maturity,"Engineering Manager 
Who are we? 
At Booking.com, we make it easier for everyone to experience the world. We began by taking hotel bookings online over 20 years ago and we’ve been shaping the travel industry ever since. Today, we’re building a platform that connects all parts of the trip – from accommodation to transport, tickets, tours and more. 
From our HQ in Manchester, our Transportation team helps people get where they want to go, anywhere in the world.  Whether customers want the freedom of a car, the ease of a taxi or the economy of public transport, we make it all possible. 
Our team is passionate about helping people travel. They see challenges as opportunities. And they’re always ready for change.
Where we are going
Frictionless customer experience driven by data, machine learning and AI
Cloud by default with continuous delivery, infrastructure as code and automation at our core
Domain based SOA ecosystem organised around Product
Cross functional agile teams who own their products and operate in a DevOps environment
Great engineering practices with a focus on TDD and BDD principles and a strong focus on product metrics and non-functional requirements at the beginning rather than an afterthought
Our Engineering Principals 
Organised
Ethical
Deliver when we say we will
Leadership
Committed
Trust
Genuine
Proactive
Skills we are looking for
We are looking for a superb and enthusiastic Software Engineering Manager who will lead an agile team to push the boundaries on engineering brilliant solutions and contribute to shaping our new future.  We expect you to have the energy and passion to deliver using a whole range of technologies and have a solid understanding of engineering principles.  We also expect you to take the lead and line manage a team of Engineers.  As a minimum, we expect all our Engineering Leads to have:
Highly proficient in technical leadership
Solid understanding of building robust and resilient systems
Strong focus on delivery management
Solid understanding of how the web works starting at the request through to the response
Proficient in the use of design patterns and frameworks such as MVC or Spring
Solid experience of Continuous Integration, Continuous Delivery and Agile
Solid understanding of major browsers (including dev tools) and platforms (Linux, AWS)
Quality first mind-set for writing code using techniques such as TDD, BDD or Agile
Good understanding of security principles and writing secure code
Solid understanding of Agile practices
Other beneficial skills
Good understanding of asynchronous systems and messaging
Commercial experience in an e-commerce background and A/B testing
Cloud technologies such as AWS and container technologies such as Kubernetes
What we offer in return
A great office to work in the heart of Manchester
Great facilities including subsidised canteen and Starbucks, free breakfast & fruit, cycle hub and break out spaces
An exciting and dynamic place to work
25 days paid holiday plus bank holidays
Great discounts on car rentals and other group benefits
Opportunity to shape the future of the team
Key Responsibilities
People Leadership 
Lead, inspire and motivate your team
Line manage a team of Engineers
Nurture, grow and develop engineering talent in the team
Fostering a great engineering culture who innovate, work as a team and celebrate success
Learn new technologies and keep abreast of existing technologies and be able to apply these to a variety of projects as applicable
Lead and coach Engineers
Craft & Delivery Leadership 
Engineering delivery, quality and practices within your team including delivery management
Collaborate with the team and others to deliver high quality solutions
Ownership of the quality of the solutions your team produce
Embed Agile ways of working and values within your team
Sizing and estimating work
Delivery of the wider Engineering strategic objectives
Get into the technical detail where required to coach, support and mentor the team
Engineering Craftsmanship including coaching and mentoring the team
Adhere to the default principles for Architecture, quality and non-functional requirements
Contribute to the evolution of best practices across the department
Drive a DevOps environment including on call escalations
Technology Leadership 
Take the lead on design and development of features
A technology evangelist
Write high quality robust code including tests
Design and develop reusable libraries, APIs and code that are easy to maintain, understand and re-use
Build, design and deliver high quality solutions in line with guidance and best practices of the department
Thought partner for Product to define, shape and deliver the roadmap
Own the architecture in your product team
 ","Manchester, United Kingdom",Engineering
24722,Senior Technology Product Manager - Accommodations - Mobile App Platform,"It wasn’t so long ago that booking a trip to see the Eiffel Tower, stroll down New York’s iconic Madison Avenue or feel the sand between our toes on Copacabana Beach was simply a matter of a few taps on our smartphone.
In fact, that’s what we do at Booking.com. We make it easier for everyone to experience the world. And as the world might feel a little farther away right now, we’re busy preparing for when the world is ready to travel once more.
Across our offices worldwide, we continue to innovate. To solve for some of the most complex challenges in travel and technology, and to plan for the exciting developments that lie ahead. With strategic long-term investments into what we believe the future of travel can be, we are opening up new career opportunities that will have a strong impact on our mission.
We are united in the belief that our very human desire to explore the planet’s beauty and discover more about other people and cultures will endure. The world is waiting for us. Together, we will be ready.
Booking.com is looking for a (Technology) Product Manager  to join our App Core Platform team, department at our Amsterdam headquarters.
Our mission at Booking.com is to create visionary, innovative, and personalized travel experiences for millions of customers all across the world. This happens more and more through our mobile app. 
To make all this possible we are looking for a product manager to drive the vision and own platform that powers our app.
B.responsible
Define the strategy for how app core platform enables dozens of teams across the company to ensure the development, capabilities and reliability needs of the community and their business objectives.
Own the relationship with business units and teams and creates an environment of trust to ensure a healthy collaboration between business units and app backend.
Own the ideation, prioritization, backlog, customer feedback loop processes.
Measure and report the team’s progress and impact to the business in a transparent and effective way. This includes defining key business and product success metrics, tracking them, and improving upon them.
Craft communication and  marketing plans for the introduction of new developer workflows or changes in technology and paradigms.
Be the advocate for the team’s customers and stakeholders and keep the track, customers, stakeholders, and the wider business up-to-date with team progress.
B.skilled
At least 4 years of experience as a (technology) Product Manager or similar role with some focus on developing services and or tooling for development teams.
Strong communication and stakeholder management skills.
Excellent collaboration, and influencing skills.
Strong affinity with technology; previous hands-on experience as an engineer, or equivalent technical role, is a nice to have.
An analytical orientation and strong problem-solving skills demonstrated by the ability to structure issues and analyze alternative solutions.
Able to understand complex technical problems and translate these into easy to understand language for non-tech stakeholders.
Able to understand and formulate meaningful business metrics.
Fluent in the English language both spoken and written.
B.offered
This position is open to candidates worldwide and for the right candidates we provide Visa and Relocation assistance.
Here is what you get:
Living and working in Amsterdam, one of the most cosmopolitan cities in Europe
Be at the center of developing a high scale, complex, world renowned mobile app with over 100 Monthly active users.
Working in a fast-paced and performance-driven culture
Opportunity to use technical expertise and entrepreneurial spirit
Promote and drive impactful and innovative solutions
Technical, behavioral and interpersonal competence advancement via on-the-job opportunities, experimental projects, hackathons, conferences and active community participation
Competitive compensation and benefits package and some great added perks of working in the home city of Booking.com
Booking.com is proud to be an equal opportunity workplace and is an affirmative action employer. All qualified applicants will receive consideration for employment without regard to race, colour, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, disability, age, or veteran status. We strive to move well beyond traditional equal opportunity and work to create an environment that allows everyone to thrive.","Amsterdam, Netherlands",Product
24720,Customer Service Advisor (Korean),"Customer Service Advisor (Korean speaker)
About the company
At Booking.com, we make it easier for everyone to experience the world. We began by taking hotel bookings online over 20 years ago and we’ve been shaping the travel industry ever since. Today, we’re building a platform that connects all parts of the trip – from accommodation to transport, tickets, tours and more.

From our Trips HQ in Manchester, our team helps people get where they want to go, anywhere in the world. Whether customers want the freedom of a car, the ease of a taxi or the economy of public transport, we make it all possible.
Booking.com core values
Own It
Learn Forever
Succeed Together
Do the Right Thing
Think Customer First
We are committed to giving you everything you need to take your career in the direction you want. With our core values we ensure you contribute to Booking.com’s mission in the best way you can.
What you’ll be doing:
You’ll be an advocate for the Booking.com values and will do all you can to meet customer expectations – from providing support with managing their reservations to answering pre-travel questions.
Making a positive impact on every customer contact over multiple channels such as phone, email or live chat.
Developing fantastic product knowledge to help resolve customer queries.
Most importantly, always ensuring a high level of customer service that’ll make anyone smile.
What you need to do it:
Have a real passion for customer service.
Written and verbal fluency in English and Korean.
A natural empathy and excellent listening skills.
You’ll be reliable, resilient and organised.
You’ll have a desire to work in a fun and fast-paced environment where you’ll love to embrace different cultures, nationalities and languages.
You’ll have a positive, motivated mindset that’ll help you deal with some tricky customer problems.
Benefits
25 vacation days (rising to 28) to go exploring
Generous accommodation discount, so you can explore for less
Pension with up to 10% matched company contribution
Huge learning and development platform tailored to you
Shopping and leisure discounts through Perkbox
Competitive maternity/paternity/adoption leave
Flexible working, including working from home
Wellbeing focus
Mental health first-aiders and free support","Manchester, United Kingdom",Customer Service
24719,Customer Service Advisor (Czech),"Customer Service Advisor (Czech speaker)
About the company
At Booking.com, we make it easier for everyone to experience the world. We began by taking hotel bookings online over 20 years ago and we’ve been shaping the travel industry ever since. Today, we’re building a platform that connects all parts of the trip – from accommodation to transport, tickets, tours and more.

From our Trips HQ in Manchester, our team helps people get where they want to go, anywhere in the world. Whether customers want the freedom of a car, the ease of a taxi or the economy of public transport, we make it all possible.
Booking.com core values
Own It
Learn Forever
Succeed Together
Do the Right Thing
Think Customer First
We are committed to giving you everything you need to take your career in the direction you want. With our core values we ensure you contribute to Booking.com’s mission in the best way you can.
What you’ll be doing:
You’ll be an advocate for the Booking.com values and will do all you can to meet customer expectations – from providing support with managing their reservations to answering pre-travel questions.
Making a positive impact on every customer contact over multiple channels such as phone, email or live chat.
Developing fantastic product knowledge to help resolve customer queries.
Most importantly, always ensuring a high level of customer service that’ll make anyone smile.
What you need to do it:
Have a real passion for customer service.
Written and verbal fluency in English and Czech.
A natural empathy and excellent listening skills.
You’ll be reliable, resilient and organised.
You’ll have a desire to work in a fun and fast-paced environment where you’ll love to embrace different cultures, nationalities and languages.
You’ll have a positive, motivated mindset that’ll help you deal with some tricky customer problems.
Benefits
25 vacation days (rising to 28) to go exploring
Generous accommodation discount, so you can explore for less
Pension with up to 10% matched company contribution
Huge learning and development platform tailored to you
Shopping and leisure discounts through Perkbox
Competitive maternity/paternity/adoption leave
Flexible working, including working from home
Wellbeing focus
Mental health first-aiders and free support","Manchester, United Kingdom",Customer Service
24718,Customer Service Advisor (Polish),"Customer Service Advisor (Polish speaker)
About the company
At Booking.com, we make it easier for everyone to experience the world. We began by taking hotel bookings online over 20 years ago and we’ve been shaping the travel industry ever since. Today, we’re building a platform that connects all parts of the trip – from accommodation to transport, tickets, tours and more.

From our Trips HQ in Manchester, our team helps people get where they want to go, anywhere in the world. Whether customers want the freedom of a car, the ease of a taxi or the economy of public transport, we make it all possible.
Booking.com core values
Own It
Learn Forever
Succeed Together
Do the Right Thing
Think Customer First
We are committed to giving you everything you need to take your career in the direction you want. With our core values we ensure you contribute to Booking.com’s mission in the best way you can.
What you’ll be doing:
You’ll be an advocate for the Booking.com values and will do all you can to meet customer expectations – from providing support with managing their reservations to answering pre-travel questions.
Making a positive impact on every customer contact over multiple channels such as phone, email or live chat.
Developing fantastic product knowledge to help resolve customer queries.
Most importantly, always ensuring a high level of customer service that’ll make anyone smile.
What you need to do it:
Have a real passion for customer service.
Written and verbal fluency in English and Polish.
A natural empathy and excellent listening skills.
You’ll be reliable, resilient and organised.
You’ll have a desire to work in a fun and fast-paced environment where you’ll love to embrace different cultures, nationalities and languages.
You’ll have a positive, motivated mindset that’ll help you deal with some tricky customer problems.
Benefits
25 vacation days (rising to 28) to go exploring
Generous accommodation discount, so you can explore for less
Pension with up to 10% matched company contribution
Huge learning and development platform tailored to you
Shopping and leisure discounts through Perkbox
Competitive maternity/paternity/adoption leave
Flexible working, including working from home
Wellbeing focus
Mental health first-aiders and free support","Manchester, United Kingdom",Customer Service
24717,Customer Service Advisor (Hebrew),"Customer Service Advisor (Hebrew speaker)
About the company
At Booking.com, we make it easier for everyone to experience the world. We began by taking hotel bookings online over 20 years ago and we’ve been shaping the travel industry ever since. Today, we’re building a platform that connects all parts of the trip – from accommodation to transport, tickets, tours and more.

From our Trips HQ in Manchester, our team helps people get where they want to go, anywhere in the world. Whether customers want the freedom of a car, the ease of a taxi or the economy of public transport, we make it all possible.
Booking.com core values
Own It
Learn Forever
Succeed Together
Do the Right Thing
Think Customer First
We are committed to giving you everything you need to take your career in the direction you want. With our core values we ensure you contribute to Booking.com’s mission in the best way you can.
What you’ll be doing:
You’ll be an advocate for the Booking.com values and will do all you can to meet customer expectations – from providing support with managing their reservations to answering pre-travel questions.
Making a positive impact on every customer contact over multiple channels such as phone, email or live chat.
Developing fantastic product knowledge to help resolve customer queries.
Most importantly, always ensuring a high level of customer service that’ll make anyone smile.
What you need to do it:
Have a real passion for customer service.
Written and verbal fluency in English and Hebrew.
A natural empathy and excellent listening skills.
You’ll be reliable, resilient and organised.
You’ll have a desire to work in a fun and fast-paced environment where you’ll love to embrace different cultures, nationalities and languages.
You’ll have a positive, motivated mindset that’ll help you deal with some tricky customer problems.
Benefits
25 vacation days (rising to 28) to go exploring
Generous accommodation discount, so you can explore for less
Pension with up to 10% matched company contribution
Huge learning and development platform tailored to you
Shopping and leisure discounts through Perkbox
Competitive maternity/paternity/adoption leave
Flexible working, including working from home
Wellbeing focus
Mental health first-aiders and free support","Manchester, United Kingdom",Customer Service
24715,Customer Service Advisor (Danish),"Customer Service Advisor (Danish speaker)
About the company
At Booking.com, we make it easier for everyone to experience the world. We began by taking hotel bookings online over 20 years ago and we’ve been shaping the travel industry ever since. Today, we’re building a platform that connects all parts of the trip – from accommodation to transport, tickets, tours and more.

From our Trips HQ in Manchester, our team helps people get where they want to go, anywhere in the world. Whether customers want the freedom of a car, the ease of a taxi or the economy of public transport, we make it all possible.
Booking.com core values
Own It
Learn Forever
Succeed Together
Do the Right Thing
Think Customer First
We are committed to giving you everything you need to take your career in the direction you want. With our core values we ensure you contribute to Booking.com’s mission in the best way you can.
What you’ll be doing:
You’ll be an advocate for the Booking.com values and will do all you can to meet customer expectations – from providing support with managing their reservations to answering pre-travel questions.
Making a positive impact on every customer contact over multiple channels such as phone, email or live chat.
Developing fantastic product knowledge to help resolve customer queries.
Most importantly, always ensuring a high level of customer service that’ll make anyone smile.
What you need to do it:
Have a real passion for customer service.
Written and verbal fluency in Danish and English.
A natural empathy and excellent listening skills.
You’ll be reliable, resilient and organised.
You’ll have a desire to work in a fun and fast-paced environment where you’ll love to embrace different cultures, nationalities and languages.
You’ll have a positive, motivated mindset that’ll help you deal with some tricky customer problems.
Benefits
25 vacation days (rising to 28) to go exploring
Generous accommodation discount, so you can explore for less
Pension with up to 10% matched company contribution
Huge learning and development platform tailored to you
Shopping and leisure discounts through Perkbox
Competitive maternity/paternity/adoption leave
Flexible working, including working from home
Wellbeing focus
Mental health first-aiders and free support","Manchester, United Kingdom",Customer Service
