word,count
ford,173
ferrari,97
renault,72
mclaren,58
mercedes,58
lotus,49
honda,49
williams,46
brabham,35
brm,31
climax,27
sauber,26
tyrrell,26
cosworth,22
bmw,20
arrows,20
ligier,17
racing,17
benetton,16
jordan,15
cooper,14
toyota,13
red,13
bull,13
alfa,12
india,12
force,12
romeo,12
minardi,12
matra,11
march,11
str,10
petronas,9
judd,9
mugen,8
surtees,8
lola,7
tag,7
shadow,7
yamaha,6
fittipaldi,6
peugeot,6
bar,6
lamborghini,6
haas,6
hart,6
jaguar,5
footwork,5
ensign,5
marussia,4
toro,4
rbr,4
rosso,4
prost,4
maserati,4
hrt,3
playlife,3
stewart,3
super,3
ilmor,3
ats,3
heuer,3
megatron,3
penske,3
porsche,3
dallara,3
caterham,3
aguri,3
repco,3
hesketh,2
eagle,2
theodore,2
iso,2
wolf,2
brp,2
scuderia,2
osella,2
parnelli,2
larrousse,2
supertec,2
toleman,2
virgin,2
asiatech,2
marlboro,2
house,2
rial,2
leyton,2
bwt,2
alphatauri,2
point,2
ags,2
weslake,1
martin,1
venturi,1
zakspeed,1
mecachrome,1
serenissima,1
vanwall,1
castellotti,1
mf1,1
hill,1
acer,1
frank,1
mrt,1
sahara,1
aston,1
alpine,1
spyker,1
cars/williams,1
brawn,1
tecno,1
onyx,1
