word,count
,65229
like,15688
/><br,14281
good,9912
one,9662
great,8947
taste,8252
love,8216
coffee,7041
get,6812
product,6565
tea,6367
really,6267
flavor,6002
little,5227
much,5192
it.,5132
use,5081
food,4960
tried,4681
-,4674
make,4646
buy,4644
find,4541
even,4496
also,4366
dog,4350
best,4310
eat,3717
try,3672
time,3657
first,3654
chocolate,3596
better,3540
bought,3485
amazon,3382
used,3377
found,3365
price,3312
made,3211
/>i,3190
two,2864
think,2840
give,2786
bag,2741
tastes,2699
since,2688
got,2674
drink,2663
bit,2654
many,2624
still,2611
order,2556
recommend,2555
well,2542
cup,2518
never,2505
every,2500
loves,2500
know,2490
way,2484
dogs,2433
them.,2389
makes,2357
go,2351
want,2338
hot,2337
without,2335
nice,2306
always,2295
sweet,2287
sugar,2284
&,2254
mix,2234
box,2210
something,2177
add,2173
2,2165
favorite,2128
ordered,2126
water,2114
lot,2108
chips,2095
put,2066
keep,2050
easy,2046
treats,2040
regular,1978
less,1974
"it,",1948
different,1947
small,1941
using,1924
buying,1922
say,1915
ever,1906
eating,1852
store,1848
brand,1843
product.,1839
"""i",1831
definitely,1829
free,1827
need,1824
hard,1818
sure,1817
local,1803
flavor.,1793
right,1791
quality,1767
enough,1750
whole,1749
old,1744
thought,1744
back,1727
pretty,1711
perfect,1707
looking,1700
big,1686
3,1666
organic,1653
see,1633
/>the,1631
green,1626
good.,1623
milk,1619
quite,1601
cat,1597
last,1591
high,1589
years,1578
long,1577
coffee.,1575
happy,1573
healthy,1569
take,1548
enjoy,1543
again.,1541
actually,1540
salt,1528
purchased,1516
flavors,1503
going,1503
almost,1502
new,1501
popcorn,1493
another,1486
day,1484
may,1475
size,1471
bad,1461
low,1456
far,1446
dark,1442
taste.,1436
chicken,1430
strong,1416
"however,",1414
fresh,1402
came,1397
people,1396
highly,1388
thing,1385
getting,1378
per,1376
worth,1369
trying,1365
tasted,1361
loved,1361
real,1358
treat,1343
products,1337
stuff,1336
bags,1336
feel,1335
several,1335
5,1331
usually,1321
package,1304
ingredients,1301
work,1299
grocery,1296
tea.,1286
delicious,1277
come,1276
anything,1273
around,1270
half,1249
4,1245
purchase,1237
excellent,1230
received,1222
probably,1212
texture,1199
natural,1194
seems,1180
amount,1178
smell,1176
added,1171
tasting,1163
full,1147
year,1144
pack,1143
cats,1131
large,1124
wonderful,1120
snack,1103
food.,1101
comes,1098
absolutely,1095
shipping,1091
able,1091
gluten,1087
me.,1081
arrived,1079
three,1078
making,1076
though,1073
oil,1071
time.,1070
cookies,1064
gave,1064
drinking,1059
tasty,1056
family,1054
1,1053
look,1052
rice,1050
butter,1049
peanut,1044
might,1041
sauce,1018
great.,1001
nothing,999
reviews,981
black,980
kind,976
white,976
potato,975
wish,974
6,972
things,971
couple,968
decided,965
expensive,962
calories,959
liked,958
problem,958
seem,954
fat,953
cans,953
light,950
went,947
especially,943
--,940
bread,937
least,937
"flavor,",936
dry,936
husband,936
coconut,932
protein,930
blend,928
us,924
maybe,918
brands,915
price.,914
well.,911
"good,",908
said,902
prefer,900
amazon.,900
"coffee,",896
took,896
wanted,896
flavored,895
started,890
extra,886
case,886
foods,884
vanilla,881
too.,880
works,868
item,867
it!,866
instead,864
juice,860
fruit,853
company,853
top,850
"them,",850
open,836
next,833
these.,826
diet,824
read,815
glad,814
variety,811
stores,810
must,808
let,806
away,800
out.,799
cheaper,797
kids,796
cups,793
months,792
"taste,",790
syrup,790
rather,781
home,781
times,780
morning,780
"tea,",779
health,778
ordering,772
this.,770
help,770
although,763
available,757
bar,751
baby,751
"product,",746
save,736
review,735
fact,731
boxes,730
ones,730
days,724
mixed,721
candy,720
likes,717
teeth,714
smaller,707
orange,705
day.,701
opened,701
smooth,698
quick,697
/>this,696
corn,696
anyone,695
"me,",690
fan,689
second,687
spicy,686
enjoyed,686
bars,683
pieces,683
everyone,680
gets,676
bottle,674
others,672
cream,671
all.,671
cheese,670
fine,667
cost,666
giving,665
french,663
money,662
jerky,661
believe,658
"well,",654
rich,652
12,652
slightly,650
bitter,650
roast,648
breakfast,647
disappointed,645
plastic,642
canned,641
keurig,640
longer,638
stars,637
super,637
tell,634
one.,633
oz,632
everything,628
beans,628
10,627
exactly,624
part,624
delicious.,623
"food,",623
soft,619
recommended,618
says,617
cut,616
type,614
minutes,611
deal,610
ice,609
packaging,605
noodles,605
store.,604
sometimes,604
brown,601
toy,601
you.,599
more.,599
chip,597
treats.,594
pork,593
cocoa,591
yet,591
(i,590
beef,589
thank,589
oatmeal,588
friends,587
meat,585
goes,584
similar,583
left,580
"""this",579
saw,578
end,578
pop,577
month,576
often,575
quickly,574
due,573
compared,572
single,570
easily,569
cereal,567
ate,565
fast,564
surprised,563
plus,560
gift,560
alternative,558
larger,558
"great,",557
feed,557
guess,556
four,553
someone,549
either,549
son,549
weight,549
simply,546
chips.,545
chew,545
teas,544
looked,543
red,541
artificial,539
better.,536
house,534
maple,532
8,531
looks,531
start,531
wife,530
powder,530
wheat,525
cook,524
pet,521
daughter,520
cookie,520
salty,517
up.,516
care,516
recently,514
pay,514
acid,507
soda,507
newman's,506
else,505
takes,505
bold,505
huge,504
serving,503
ago,503
extremely,500
plain,497
(and,497
reason,496
keeps,495
however,495
adding,494
dried,494
energy,493
bag.,491
"time,",491
given,490
decaf,490
k-cups,490
years.,488
excited,488
run,488
switch,486
daily,485
mouth,484
vet,484
special,481
ground,481
pleased,481
lots,478
brew,478
gives,477
hope,476
honey,476
/>it,476
leave,475
contains,474
/>if,474
place,474
version,474
soup,473
finally,473
stomach,472
"sugar,",472
.,470
side,470
cold,469
"also,",469
pasta,469
pumpkin,468
recipe,467
original,466
"so,",465
stick,464
difference,463
clean,463
problems,461
along,458
needed,458
inside,458
based,456
great!,455
shipped,454
sent,452
k-cup,452
continue,452
machine,451
smells,450
seemed,449
amazing,448
shake,448
already,447
pot,447
cinnamon,447
sold,447
it.<br,446
pepper,445
idea,445
best.,445
noticed,444
now.,443
helps,443
needs,442
picky,441
"this,",441
sugar.,440
/>,440
completely,440
try.,439
aroma,438
<a,438
online,436
change,435
iced,435
cooking,434
100%,432
medium,432
packaged,430
certainly,429
week,429
mild,429
sweet.,428
water.,428
instant,428
close,428
live,428
crackers,427
/>my,427
difficult,426
break,425
"sweet,",425
weeks,423
subscribe,423
microwave,423
soy,423
treat.,422
packs,421
:),421
baked,420
chai,419
nuts,419
thanks,418
stuff.,418
snack.,416
ounce,415
baking,414
friend,413
entire,412
meal,412
flavors.,410
told,409
contain,409
healthier,409
heat,407
