word,count
russian,39
ukrainian,26
ukraine,22
russia,21
says,21
bbc,20
ukraine.,19
war,19
uk,17
first,17
people,15
-,15
west,14
world,12
england,12
city,11
day,10
us,10
one,10
may,10
president,10
two,9
woman,9
league,9
chelsea,9
many,9
living,9
say,8
years,8
covid,8
says.,8
manchester,8
ukrainians,8
three,8
war.,8
sanctions,8
get,8
children,8
women's,8
nations,8
hit,7
show,7
new,7
back,7
johnson,7
four,7
fleeing,7
six,7
amid,7
global,7
social,7
second,7
find,7
country,7
win,7
indies,7
help,7
invasion,7
found,7
forces,7
test,7
leave,6
trying,6
19-year-old,6
energy,6
bills,6
media,6
ban,6
hospital,6
need,6
irish,6
imposed,6
"""the",6
thousands,6
home,6
coronavirus,6
keep,6
champions,6
still,5
countries,5
prices,5
parents,5
gas,5
roman,5
seven,5
speak,5
food,5
cities,5
ukraine's,5
sport,5
pain,5
cup,5
played,5
women,5
fear,5
million,5
week,5
make,5
club's,5
"ukraine,",5
economic,5
lead,5
time,5
crew,5
try,5
sumy,5
play,5
defeat,5
also,5
boris,5
stop,5
big,5
attacks.,5
owner,5
russia's,4
among,4
uk's,4
experts,4
investors,4
growing,4
face,4
refugees,4
reach,4
former,4
symbol,4
indian,4
country.,4
russia.,4
team,4
fuel,4
next,4
family,4
past,4
london,4
support,4
france,4
escape,4
care,4
police,4
see,4
refugee,4
fight,4
video,4
quarter-finals,4
meet,4
southern,4
members,4
mps,4
died,4
western,4
sign,4
cut,4
investigated,4
kyiv.,4
know,4
another,4
oil,4
since,4
claims,4
making,4
online,3
taking,3
film,3
used,3
cricketer's,3
got,3
drone,3
extra,3
father,3
set,3
appears,3
pandemic,3
area.,3
airlifted,3
podium,3
man,3
required,3
boss,3
title,3
abramovich,3
spent,3
kuliak,3
top,3
dutch,3
response,3
impact,3
volunteers,3
households.,3
outside,3
comes,3
leotard,3
samui.,3
united,3
future,3
advance.,3
super,3
"pms,",3
manager,3
central,3
struggling,3
calls,3
longer,3
close,3
school,3
mother,3
death,3
go,3
papers.,3
ivan,3
canadian,3
rival,3
official,3
meeting,3
train,3
use,3
shared,3
going,3
data,3
residents,3
stood,3
thai,3
city.,3
politicians,3
year,3
cup.,3
things,3
answers,3
mean,3
national,3
gymnast,3
"shock,",3
bombed,3
due,3
squad,3
bbc's,3
moving,3
artist,3
young,3
peterhead-registered,3
njord,3
explore,3
signed,3
millions,3
rising,3
firms,3
say.,3
healthcare,3
antigua.,3
made,3
scotland,3
club,3
join,3
speech,3
key,3
foul,3
putin,3
household,3
performance,3
kharkiv,3
come,3
scores,3
13-9,3
civilians,3
beat,3
government,3
star,3
holiday,3
invasion.,3
chancellor,3
looks,3
five,3
qatar,3
cases,3
queen,3
visa,3
side,3
koh,3
supplies,3
targeting,3
east.,3
wearing,3
kyiv,3
causing,3
