word,count
,1409
planernaia,126
vdnkh,83
medvedkovo,83
rasskazovka,48
prospekt,45
ulitca,45
solntcevo,43
nekrasovka,43
altufevo,43
kuntcevskaia,42
khovrino,42
ploshchad,42
otradnoe,42
shchelkovskaia,42
sviblovo,42
dobryninskaia,42
alekseevskaia,42
zhulebino,42
vystavochnaia,41
starokachalovskaia,41
riazanskii,41
tcaritcyno,41
paveletckaia,41
preobrazhenskaia,41
rimskaia,41
okskaia,41
perovo,41
shabolovskaia,41
skhodnenskaia,41
data,37
buninskaia,13
alleia,13
salarevo,9
bulvar,6
annino,3
teplyi,3
park,3
fili,3
1905,3
seligerskaia,3
stan,3
kommunarka,3
goda,3
petrovskii,3
mitino,3
rokossovskogo,3
govorovo,3
belorusskaia,3
tekstilshchiki,3
ramenki,3
stadion,2
cherkizovskaia,2
belomorskaia,2
strogino,2
sad,2
aviamotornaia,2
liublino,2
tcvetnoi,2
botanicheskii,2
ziablikovo,2
vladykino,2
shelepikha,2
vodnyi,2
bagrationovskaia,2
piatnitckoe,2
riad,2
okhotnyi,2
mira,2
shosse,2
vorota,1
sokolniki,1
iugo-zapadnaia,1
krasnoselskaia,1
timiriazevskaia,1
chertanovskaia,1
oktiabrskaia,1
krasnogvardeiskaia,1
petrovsko-razumovskaia,1
volzhskaia,1
kurskaia,1
tulskaia,1
prazhskaia,1
pechatniki,1
vernadskogo,1
bratislavskaia,1
taganskaia,1
krasnye,1
lefortovo,1
mezhdunarodnaia,1
opolchenie,1
kantemirovskaia,1
beliaevo,1
narodnoe,1
ilicha,1
elektrozavodskaia,1
minskaia,1
vokzal,1
filatov,1
dmitrievskogo,1
marino,1
butyrskaia,1
kaluzhskaia,1
lug,1
kotelniki,1
dmitrovskaia,1
dubrovka,1
polianka,1
admirala,1
sukharevskaia,1
novye,1
pole,1
okruzhnaia,1
baumanskaia,1
akademicheskaia,1
universitet,1
kievskaia,1
dinamo,1
nakhimovskii,1
lukhmanovskaia,1
rechnoi,1
cheremushki,1
nagornaia,1
iasenevo,1
studencheskaia,1
roshcha,1
proletarskaia,1
ozernaia,1
kuzminki,1
novokosino,1
borisovo,1
izmailovskaia,1
ushakova,1
novoperedelkino,1
marina,1
partizanskaia,1
spartak,1
oktiabrskoe,1
arbatskaia,1
tcska,1
